run_id,task_id,group_id,replicate,reason,final_status,event_log_path
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,waiting_chain_incomplete,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,step_failed,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,static_top1,2,terminal_or_waiting_status:FAILED,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,static_top1,2,waiting_chain_incomplete,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl
thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02,static_top1,2,step_failed,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,static_top1,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,static_top1,1,waiting_chain_incomplete,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01,static_top1,1,step_failed,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r01.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,static_top1,2,terminal_or_waiting_status:FAILED,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,static_top1,2,waiting_chain_incomplete,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02.jsonl
thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02,static_top1,2,step_failed,FAILED,data/logs/thesis-final-smoke-004_static_top1_t1_villin_like_helix_bundle_r02.jsonl
