from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
static_top1,fixed_threshold_gate,success,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,success,-1.0,-1.0,-1.0,1,paired
static_top1,fixed_threshold_gate,first_pass_success,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,-1.0,-1.0,-1.0,1,paired
static_top1,fixed_threshold_gate,schema_valid,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,executable_plan,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,patch_event_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,duration_ms,170000.0,170000.0,170000.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-166000.0,-166000.0,-166000.0,1,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,68000.0,68000.0,68000.0,1,paired
static_top1,fixed_threshold_gate,high_cost_call_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,action_continue_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,-1.0,-1.0,-1.0,1,paired
static_top1,fixed_threshold_gate,action_patch_local_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,action_suffix_replan_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,0.0,0.0,1,paired
static_top1,fixed_threshold_gate,action_stop_count,0.0,0.0,0.0,1,paired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,1,paired
