from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
static_top1,fixed_threshold_gate,success,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,first_pass_success,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,schema_valid,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,executable_plan,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,patch_event_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,duration_ms,-30750.0,-79250.0,2500.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,36250.0,-7750.0,77500.0,4,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,16500.0,-19000.0,52000.0,4,paired
static_top1,fixed_threshold_gate,high_cost_call_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,action_continue_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,-0.5,-1.5,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,action_patch_local_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,action_suffix_replan_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,0.0,0.0,4,paired
static_top1,fixed_threshold_gate,action_stop_count,0.0,0.0,0.0,4,paired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,4,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,4,paired
