run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T03:07:07+00:00,2026-05-10T03:12:06+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T03:12:06+00:00,2026-05-10T03:14:34+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01,thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01,static_top1,1,t5_trpcage_patchable_length_failure,medium,standard,static_single_candidate,DONE,DONE,2026-05-10T03:14:34+00:00,2026-05-10T03:17:36+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01,thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01,static_top1,1,t8_forbidden_motif_safety_probe,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T03:17:36+00:00,2026-05-10T03:20:41+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r,fixed_threshold_gate,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-05-10T03:20:41+00:00,2026-05-10T03:23:56+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,fixed_threshold_gate,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-05-10T03:23:56+00:00,2026-05-10T03:26:34+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failure_r01,thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu,fixed_threshold_gate,1,t5_trpcage_patchable_length_failure,medium,standard,static_threshold_gate,DONE,DONE,2026-05-10T03:26:34+00:00,2026-05-10T03:29:12+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failure_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r01,thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r,fixed_threshold_gate,1,t8_forbidden_motif_safety_probe,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-05-10T03:29:12+00:00,2026-05-10T03:32:12+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01,thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid,dynamic_no_belief_state,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,dynamic_observation_only,DONE,DONE,2026-05-10T03:32:12+00:00,2026-05-10T03:36:17+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,dynamic_no_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,dynamic_observation_only,DONE,DONE,2026-05-10T03:36:17+00:00,2026-05-10T03:39:23+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
