run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,de15f7bcabfc
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,89feb624bc65
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01,static_top1,1,t5_trpcage_patchable_length_failure,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t5_trpcage_patchable_length_failure_r01.json,7b6d2cc9d403
thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01,static_top1,1,t8_forbidden_motif_safety_probe,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_static_top1_t8_forbidden_motif_safety_probe_r01.json,0508cceac832
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01,fixed_threshold_gate,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r.json,ac48ce205a32
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,fixed_threshold_gate,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,56b3786c7c33
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failure_r01,fixed_threshold_gate,1,t5_trpcage_patchable_length_failure,medium,standard,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failure_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t5_trpcage_patchable_length_failu.json,bd5f39b8422f
thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r01,fixed_threshold_gate,1,t8_forbidden_motif_safety_probe,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_fixed_threshold_gate_t8_forbidden_motif_safety_probe_r.json,955fb15de9c7
thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01,dynamic_no_belief_state,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptid.json,f03d1ad729a8
thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,dynamic_no_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t9-clean-001/run_configs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t9-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,997b0a6a8ef2
