from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
static_top1,fixed_threshold_gate,success,-0.047619047619047616,-0.14285714285714285,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,-0.14285714285714285,0.14285714285714285,21,paired
dynamic_no_belief_state,lite_belief_state,success,0.0,-0.14285714285714285,0.14285714285714285,21,paired
static_top1,fixed_threshold_gate,first_pass_success,-0.09523809523809523,-0.23809523809523808,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.047619047619047616,-0.09523809523809523,0.19047619047619047,21,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,-0.14285714285714285,0.14285714285714285,21,paired
static_top1,fixed_threshold_gate,schema_valid,0.0,0.0,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,-0.047619047619047616,-0.14285714285714285,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.047619047619047616,0.0,0.14285714285714285,21,paired
static_top1,fixed_threshold_gate,executable_plan,-0.047619047619047616,-0.14285714285714285,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.047619047619047616,0.0,0.14285714285714285,21,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,0.0,0.0,21,paired
static_top1,fixed_threshold_gate,patch_event_count,0.2857142857142857,0.0,0.8571428571428571,21,paired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,-0.2857142857142857,-0.8571428571428571,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,21,paired
static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,21,paired
static_top1,fixed_threshold_gate,duration_ms,58333.333333333336,-14952.380952380952,141571.42857142858,21,paired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-73666.66666666667,-145523.80952380953,-17285.714285714286,21,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,45523.80952380953,-6952.380952380952,111142.85714285714,21,paired
static_top1,fixed_threshold_gate,high_cost_call_count,0.3333333333333333,0.0,0.9047619047619048,21,paired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,-0.38095238095238093,-0.9047619047619048,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,-0.14285714285714285,0.14285714285714285,21,paired
static_top1,fixed_threshold_gate,action_continue_count,0.42857142857142855,0.0,1.0952380952380953,21,paired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,-0.5714285714285714,-1.2857142857142858,-0.047619047619047616,21,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,0.0,-0.14285714285714285,0.14285714285714285,21,paired
static_top1,fixed_threshold_gate,action_patch_local_count,0.2857142857142857,0.0,0.8571428571428571,21,paired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,-0.2857142857142857,-0.8571428571428571,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,0.0,0.0,21,paired
static_top1,fixed_threshold_gate,action_suffix_replan_count,0.2857142857142857,0.0,0.8571428571428571,21,paired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,-0.2857142857142857,-0.8571428571428571,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,0.0,0.0,21,paired
static_top1,fixed_threshold_gate,action_stop_count,0.0,0.0,0.0,21,paired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,21,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,21,paired
