run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01,thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:11:24+00:00,2026-05-10T05:17:10+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02,thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02,static_top1,2,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:17:10+00:00,2026-05-10T05:20:22+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01,thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01,static_top1,1,t1_villin_like_helix_bundle,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:20:22+00:00,2026-05-10T05:23:53+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02,thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02,static_top1,2,t1_villin_like_helix_bundle,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:23:53+00:00,2026-05-10T05:26:44+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01,thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:26:44+00:00,2026-05-10T05:29:37+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02,thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02,static_top1,2,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-05-10T05:29:37+00:00,2026-05-10T05:32:32+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01,thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01,static_top1,1,t2_ubiquitin_sequence_eval,medium,standard,static_single_candidate,DONE,DONE,2026-05-10T05:32:32+00:00,2026-05-10T05:35:16+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02,thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02,static_top1,2,t2_ubiquitin_sequence_eval,medium,standard,static_single_candidate,DONE,DONE,2026-05-10T05:35:16+00:00,2026-05-10T05:37:59+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.json,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01,thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01,static_top1,1,t3_gb1_stability_optimization,medium,standard,static_single_candidate,DONE,DONE,2026-05-10T05:37:59+00:00,2026-05-10T05:42:51+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01_denovo.md,issue209-baseline-freeze-20260326,,
thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02,thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02,static_top1,2,t3_gb1_stability_optimization,medium,standard,static_single_candidate,DONE,DONE,2026-05-10T05:42:51+00:00,2026-05-10T05:46:42+00:00,output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02_denovo.md,issue209-baseline-freeze-20260326,,
