run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,9515d08dfc13
thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02,static_top1,2,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_trpcage_denovo_short_peptide_r02.json,058c95df964c
thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01,static_top1,1,t1_villin_like_helix_bundle,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r01.json,ee7b1ef4c7da
thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02,static_top1,2,t1_villin_like_helix_bundle,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t1_villin_like_helix_bundle_r02.json,d8a598e544b4
thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r01.json,d0262bddf9b5
thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02,static_top1,2,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_trpcage_sequence_eval_r02.json,1c7af4994f59
thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01,static_top1,1,t2_ubiquitin_sequence_eval,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r01.json,2d957d920360
thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02,static_top1,2,t2_ubiquitin_sequence_eval,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t2_ubiquitin_sequence_eval_r02.json,462f1c1b33ed
thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01,static_top1,1,t3_gb1_stability_optimization,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01.jsonl,output/reports/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r01_denovo.md,c9579e2eca38
thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02,static_top1,2,t3_gb1_stability_optimization,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix/thesis-final-v1-001/run_configs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02.jsonl,output/reports/thesis-final-v1-001_static_top1_t3_gb1_stability_optimization_r02_denovo.md,5dac72ea0095
