from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
E0,E1,success,-1.0,-1.0,-1.0,7,paired
E1,E2,success,0.0,0.0,0.0,7,paired
E0,E1,first_pass_success,-1.0,-1.0,-1.0,7,paired
E1,E2,first_pass_success,0.0,0.0,0.0,7,paired
E0,E1,schema_valid,0.0,0.0,0.0,7,paired
E1,E2,schema_valid,0.0,0.0,0.0,7,paired
E0,E1,executable_plan,0.0,0.0,0.0,7,paired
E1,E2,executable_plan,0.0,0.0,0.0,7,paired
E0,E1,patch_event_count,0.0,0.0,0.0,7,paired
E1,E2,patch_event_count,0.0,0.0,0.0,7,paired
E0,E1,replan_event_count,0.0,0.0,0.0,7,paired
E1,E2,replan_event_count,0.0,0.0,0.0,7,paired
E0,E1,duration_ms,-250428.57142857142,-265285.71428571426,-235714.2857142857,7,paired
E1,E2,duration_ms,-17857.14285714286,-31714.285714285714,-428.57142857142856,7,paired
E0,E1,high_cost_call_count,0.0,0.0,0.0,7,paired
E1,E2,high_cost_call_count,0.0,0.0,0.0,7,paired
E0,E1,action_continue_count,-3.0,-3.0,-3.0,7,paired
E1,E2,action_continue_count,0.0,0.0,0.0,7,paired
E0,E1,action_patch_local_count,0.0,0.0,0.0,7,paired
E1,E2,action_patch_local_count,0.0,0.0,0.0,7,paired
E0,E1,action_suffix_replan_count,0.0,0.0,0.0,7,paired
E1,E2,action_suffix_replan_count,0.0,0.0,0.0,7,paired
E0,E1,action_stop_count,0.0,0.0,0.0,7,paired
E1,E2,action_stop_count,0.0,0.0,0.0,7,paired
