run_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01_denovo.md,c8e21d466a0f
issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02_denovo.md,f64f6950ae22
issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01_denovo.md,e6e1e19ffdd5
issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01_denovo.md,3f80463a094c
issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02_denovo.md,988f58a833ce
issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01_denovo.md,8d0e54d8a200
issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02_denovo.md,6070579c5044
issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.jsonl,,a47d9bf79149
issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.jsonl,,0da0f99a9b9a
issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.jsonl,,cfcdc159f770
