run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01,issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,DONE,2026-04-20T05:44:02+00:00,2026-04-20T05:46:23+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02,issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,CANCELLED,CANCELLED,2026-04-20T05:46:23+00:00,2026-04-20T05:48:19+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01,issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,CANCELLED,CANCELLED,2026-04-20T05:48:19+00:00,2026-04-20T05:52:30+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E0_high_solubility_r01,issue172-live-minimax-tunnel-r1_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,CANCELLED,CANCELLED,2026-04-20T05:52:30+00:00,2026-04-20T05:55:06+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E0_high_solubility_r02,issue172-live-minimax-tunnel-r1_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,FAILED,FAILED,2026-04-20T05:55:06+00:00,2026-04-20T05:55:15+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.jsonl,,issue199-platform-freeze-20260412,,PlanRunError: Candidate validation hard-failed before execution: CANDIDATE_PARAMS_INVALID: input 'candidates' has invalid type for expected 'list'
issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01,issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,FAILED,FAILED,2026-04-20T05:55:15+00:00,2026-04-20T05:55:32+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.jsonl,,issue199-platform-freeze-20260412,,PlanRunError: Candidate validation hard-failed before execution: CANDIDATE_PARAMS_INVALID: input 'pdb_path' has invalid type for expected 'path'
issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02,issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,CANCELLED,CANCELLED,2026-04-20T05:55:32+00:00,2026-04-20T05:58:04+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01,issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T05:58:04+00:00,2026-04-20T06:00:00+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02,issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:00:00+00:00,2026-04-20T06:02:04+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01,issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:02:04+00:00,2026-04-20T06:04:00+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_high_solubility_r01,issue172-live-minimax-tunnel-r1_E1_high_solubility_r01,E1,1,high_solubility,easy,low_cost_first,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:04:00+00:00,2026-04-20T06:05:56+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_high_solubility_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_high_solubility_r02,issue172-live-minimax-tunnel-r1_E1_high_solubility_r02,E1,2,high_solubility,easy,low_cost_first,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:05:56+00:00,2026-04-20T06:07:56+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01,issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01,E1,1,secondary_balance,medium,standard,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:07:56+00:00,2026-04-20T06:10:28+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02,issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02,E1,2,secondary_balance,medium,standard,multi_branch_selection,CANCELLED,CANCELLED,2026-04-20T06:10:28+00:00,2026-04-20T06:13:00+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01,issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01,E2,1,enzyme_like_fold,medium,standard,reflection_recovery,CANCELLED,CANCELLED,2026-04-20T06:13:00+00:00,2026-04-20T06:18:10+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02,issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02,E2,2,enzyme_like_fold,medium,standard,reflection_recovery,FAILED,FAILED,2026-04-20T06:18:10+00:00,2026-04-20T06:18:41+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.jsonl,,issue199-platform-freeze-20260412,,"ValueError: LLM 生成的 Plan 无效: {'constraints': {'max_llm_calls': 1, 'max_plan_steps': 3, 'max_tool_calls': 3, 'max_wall_clock_seconds': 180}, 'steps': '[{""id"": ""1"", ""tool"": ""protein_mpnn"", ""inputs"": {""goal"": ""compact enzyme-like fold with stable core"", ""length_range"": [40, 80], ""design_style"": ""enzyme_mimicry""}, {""id"": ""2"", ""tool"": ""openfold"", ""inputs"": {""sequence"": ""protein_mpnn.output.sequence"", ""execution_mode"": ""openfold3_rest""}, {""id"": ""3"", ""tool"": ""biopython_qc"", ""inputs"": {""pdb_path"": ""openfold.output.pdb_path"", ""sequence"": ""protein_mpnn.output.sequence""}}]', 'task_id': 'issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02', 'metadata': {'elapsed_seconds': 30.55415916442871, 'provider': 'anthropic_messages', 'model': 'MiniMax-M2.5', 'endpoint': 'https://api.minimaxi.com/anthropic'}}"
issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01,issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01,E2,1,binding_scaffold,hard,high_cost_sensitive,reflection_recovery,FAILED,FAILED,2026-04-20T06:18:41+00:00,2026-04-20T06:21:43+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.jsonl,,issue199-platform-freeze-20260412,,"Exception: LLM API 调用失败: Request timed out or interrupted. This could be due to a network timeout, dropped connection, or request cancellation. See https://docs.anthropic.com/en/api/errors#long-requests for more details."
issue172-live-minimax-tunnel-r1_E2_high_solubility_r01,issue172-live-minimax-tunnel-r1_E2_high_solubility_r01,E2,1,high_solubility,easy,low_cost_first,reflection_recovery,FAILED,FAILED,2026-04-20T06:21:43+00:00,2026-04-20T06:24:27+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.jsonl,,issue199-platform-freeze-20260412,,PlanRunError: Candidate validation hard-failed before execution: CANDIDATE_PARAMS_INVALID: input 'candidates' has invalid type for expected 'list'
issue172-live-minimax-tunnel-r1_E2_high_solubility_r02,issue172-live-minimax-tunnel-r1_E2_high_solubility_r02,E2,2,high_solubility,easy,low_cost_first,reflection_recovery,CANCELLED,CANCELLED,2026-04-20T06:24:27+00:00,2026-04-20T06:28:01+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01,issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01,E2,1,secondary_balance,medium,standard,reflection_recovery,CANCELLED,CANCELLED,2026-04-20T06:28:01+00:00,2026-04-20T06:32:08+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02,issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02,E2,2,secondary_balance,medium,standard,reflection_recovery,CANCELLED,CANCELLED,2026-04-20T06:32:08+00:00,2026-04-20T06:35:11+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.jsonl,,issue199-platform-freeze-20260412,replan_confirm,
