run_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r01_denovo.md,e83780f5c292
issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,,3f0890754a10
issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_binding_scaffold_r01.jsonl,,ad32d06e7ad8
issue172-live-minimax-tunnel-r1_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_high_solubility_r01.jsonl,,d041f4039d3d
issue172-live-minimax-tunnel-r1_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_high_solubility_r02.jsonl,,f7efc4f724a8
issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r01.jsonl,,11cdfbe6d33b
issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E0_secondary_balance_r02.jsonl,,c3f6c6be33df
issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,,6639a4463d3c
issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,,e6477952787f
issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_binding_scaffold_r01.jsonl,,db83846712c8
