from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
E0,E1,success,-0.14285714285714285,-0.42857142857142855,0.0,7,paired
E1,E2,success,0.14285714285714285,0.0,0.42857142857142855,7,paired
E0,E1,first_pass_success,-0.14285714285714285,-0.42857142857142855,0.0,7,paired
E1,E2,first_pass_success,0.14285714285714285,0.0,0.42857142857142855,7,paired
E0,E1,schema_valid,-0.14285714285714285,-0.42857142857142855,0.0,7,paired
E1,E2,schema_valid,0.14285714285714285,0.0,0.42857142857142855,7,paired
E0,E1,executable_plan,0.0,0.0,0.0,7,paired
E1,E2,executable_plan,0.0,0.0,0.0,7,paired
E0,E1,patch_event_count,0.0,0.0,0.0,7,paired
E1,E2,patch_event_count,0.0,0.0,0.0,7,paired
E0,E1,replan_event_count,0.0,0.0,0.0,7,paired
E1,E2,replan_event_count,0.0,0.0,0.0,7,paired
E0,E1,duration_ms,-26571.428571428572,-96714.28571428571,14000.0,7,paired
E1,E2,duration_ms,36000.0,-4857.142857142857,105714.28571428571,7,paired
E0,E1,high_cost_call_count,0.0,0.0,0.0,7,paired
E1,E2,high_cost_call_count,0.0,0.0,0.0,7,paired
E0,E1,action_continue_count,-0.42857142857142855,-1.2857142857142858,0.0,7,paired
E1,E2,action_continue_count,0.42857142857142855,0.0,1.2857142857142858,7,paired
E0,E1,action_patch_local_count,0.0,0.0,0.0,7,paired
E1,E2,action_patch_local_count,0.0,0.0,0.0,7,paired
E0,E1,action_suffix_replan_count,0.0,0.0,0.0,7,paired
E1,E2,action_suffix_replan_count,0.0,0.0,0.0,7,paired
E0,E1,action_stop_count,0.0,0.0,0.0,7,paired
E1,E2,action_stop_count,0.0,0.0,0.0,7,paired
