run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01,issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,DONE,2026-04-22T02:41:45+00:00,2026-04-22T02:46:03+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02,issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,DONE,DONE,2026-04-22T02:46:03+00:00,2026-04-22T02:50:16+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01,issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,DONE,DONE,2026-04-22T02:50:16+00:00,2026-04-22T02:54:14+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01,issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,DONE,DONE,2026-04-22T02:54:14+00:00,2026-04-22T02:58:15+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02,issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,DONE,DONE,2026-04-22T02:58:15+00:00,2026-04-22T03:02:30+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01,issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,DONE,DONE,2026-04-22T03:02:30+00:00,2026-04-22T03:06:50+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02,issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,DONE,DONE,2026-04-22T03:06:50+00:00,2026-04-22T03:11:02+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01,issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,DONE,DONE,2026-04-22T03:11:02+00:00,2026-04-22T03:15:11+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02,issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,FAILED,2026-04-22T03:15:11+00:00,2026-04-22T03:15:35+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,,issue199-platform-freeze-20260412,,"PlanRunError: Candidate validation hard-failed before execution: CANDIDATE_PARAMS_INVALID: length_range must be [min_len, max_len] with positive integers"
issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01,issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,DONE,DONE,2026-04-22T03:15:35+00:00,2026-04-22T03:19:35+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01_denovo.md,issue199-platform-freeze-20260412,,
