run_id,task_id,group_id,replicate,reason,final_status,event_log_path
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01,issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01,issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,waiting_chain_incomplete,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02,issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02.jsonl
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02,issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,waiting_chain_incomplete,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02.jsonl
issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01,issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01,issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,waiting_chain_incomplete,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_high_solubility_r01,issue221-full-20260417_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_high_solubility_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_high_solubility_r01,issue221-full-20260417_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,waiting_chain_incomplete,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_high_solubility_r01.jsonl
issue221-full-20260417_fixed_threshold_gate_high_solubility_r02,issue221-full-20260417_fixed_threshold_gate_high_solubility_r02,fixed_threshold_gate,2,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_high_solubility_r02.jsonl
issue221-full-20260417_fixed_threshold_gate_high_solubility_r02,issue221-full-20260417_fixed_threshold_gate_high_solubility_r02,fixed_threshold_gate,2,waiting_chain_incomplete,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_high_solubility_r02.jsonl
issue221-full-20260417_fixed_threshold_gate_secondary_balance_r01,issue221-full-20260417_fixed_threshold_gate_secondary_balance_r01,fixed_threshold_gate,1,terminal_or_waiting_status:WAITING_PLAN_CONFIRM,WAITING_PLAN_CONFIRM,data/logs/issue221-full-20260417_fixed_threshold_gate_secondary_balance_r01.jsonl
