from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
static_top1,fixed_threshold_gate,success,-1.0,-1.0,-1.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,first_pass_success,-0.5714285714285714,-0.8571428571428571,-0.14285714285714285,7,paired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,schema_valid,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,executable_plan,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,patch_event_count,-0.42857142857142855,-0.8571428571428571,-0.14285714285714285,7,paired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,duration_ms,-213142.85714285713,-285714.28571428574,-133428.57142857142,7,paired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-17285.714285714286,-32285.714285714286,-4142.857142857143,7,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,-18428.571428571428,-30000.0,-4000.0,7,paired
static_top1,fixed_threshold_gate,high_cost_call_count,-0.2857142857142857,-0.5714285714285714,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,action_continue_count,-4.0,-4.571428571428571,-3.4285714285714284,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,-0.14285714285714285,-0.42857142857142855,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,action_patch_local_count,-0.42857142857142855,-0.8571428571428571,-0.14285714285714285,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,action_suffix_replan_count,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,0.0,0.0,7,paired
static_top1,fixed_threshold_gate,action_stop_count,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,7,paired
