slice_type,slice_value,group_id,metric_dimension,metric,value
overall,all,static_top1,success,success_rate,1.0
overall,all,static_top1,success,first_pass_success_rate,0.5714285714285714
overall,all,static_top1,cost,duration_ms_mean,252285.7142857143
overall,all,static_top1,cost,high_cost_call_mean,0.2857142857142857
overall,all,static_top1,cost,high_cost_failure_mean,0.0
overall,all,static_top1,recovery,patch_events_mean,0.42857142857142855
overall,all,static_top1,recovery,replan_events_mean,0.0
overall,all,static_top1,recovery,suffix_replan_events_mean,0.0
overall,all,static_top1,recovery,patch_minimality_hit_rate,1.0
overall,all,static_top1,recovery,suffix_replan_prefix_preservation_rate,
overall,all,fixed_threshold_gate,success,success_rate,0.0
overall,all,fixed_threshold_gate,success,first_pass_success_rate,0.0
overall,all,fixed_threshold_gate,cost,duration_ms_mean,39142.857142857145
overall,all,fixed_threshold_gate,cost,high_cost_call_mean,0.0
overall,all,fixed_threshold_gate,cost,high_cost_failure_mean,0.0
overall,all,fixed_threshold_gate,recovery,patch_events_mean,0.0
overall,all,fixed_threshold_gate,recovery,replan_events_mean,0.0
overall,all,fixed_threshold_gate,recovery,suffix_replan_events_mean,0.0
overall,all,fixed_threshold_gate,recovery,patch_minimality_hit_rate,
overall,all,fixed_threshold_gate,recovery,suffix_replan_prefix_preservation_rate,
overall,all,dynamic_no_belief_state,success,success_rate,0.0
overall,all,dynamic_no_belief_state,success,first_pass_success_rate,0.0
overall,all,dynamic_no_belief_state,cost,duration_ms_mean,21857.14285714286
overall,all,dynamic_no_belief_state,cost,high_cost_call_mean,0.0
overall,all,dynamic_no_belief_state,cost,high_cost_failure_mean,0.0
overall,all,dynamic_no_belief_state,recovery,patch_events_mean,0.0
overall,all,dynamic_no_belief_state,recovery,replan_events_mean,0.0
overall,all,dynamic_no_belief_state,recovery,suffix_replan_events_mean,0.0
overall,all,dynamic_no_belief_state,recovery,patch_minimality_hit_rate,
overall,all,dynamic_no_belief_state,recovery,suffix_replan_prefix_preservation_rate,
overall,all,lite_belief_state,success,success_rate,0.0
overall,all,lite_belief_state,success,first_pass_success_rate,0.0
overall,all,lite_belief_state,cost,duration_ms_mean,3428.5714285714284
overall,all,lite_belief_state,cost,high_cost_call_mean,0.0
overall,all,lite_belief_state,cost,high_cost_failure_mean,0.0
overall,all,lite_belief_state,recovery,patch_events_mean,0.0
overall,all,lite_belief_state,recovery,replan_events_mean,0.0
overall,all,lite_belief_state,recovery,suffix_replan_events_mean,0.0
overall,all,lite_belief_state,recovery,patch_minimality_hit_rate,
overall,all,lite_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,easy,static_top1,success,success_rate,1.0
difficulty,easy,static_top1,success,first_pass_success_rate,0.5
difficulty,easy,static_top1,cost,duration_ms_mean,278500.0
difficulty,easy,static_top1,cost,high_cost_call_mean,0.0
difficulty,easy,static_top1,cost,high_cost_failure_mean,0.0
difficulty,easy,static_top1,recovery,patch_events_mean,0.5
difficulty,easy,static_top1,recovery,replan_events_mean,0.0
difficulty,easy,static_top1,recovery,suffix_replan_events_mean,0.0
difficulty,easy,static_top1,recovery,patch_minimality_hit_rate,1.0
difficulty,easy,static_top1,recovery,suffix_replan_prefix_preservation_rate,
difficulty,easy,fixed_threshold_gate,success,success_rate,0.0
difficulty,easy,fixed_threshold_gate,success,first_pass_success_rate,0.0
difficulty,easy,fixed_threshold_gate,cost,duration_ms_mean,32500.0
difficulty,easy,fixed_threshold_gate,cost,high_cost_call_mean,0.0
difficulty,easy,fixed_threshold_gate,cost,high_cost_failure_mean,0.0
difficulty,easy,fixed_threshold_gate,recovery,patch_events_mean,0.0
difficulty,easy,fixed_threshold_gate,recovery,replan_events_mean,0.0
difficulty,easy,fixed_threshold_gate,recovery,suffix_replan_events_mean,0.0
difficulty,easy,fixed_threshold_gate,recovery,patch_minimality_hit_rate,
difficulty,easy,fixed_threshold_gate,recovery,suffix_replan_prefix_preservation_rate,
difficulty,easy,dynamic_no_belief_state,success,success_rate,0.0
difficulty,easy,dynamic_no_belief_state,success,first_pass_success_rate,0.0
difficulty,easy,dynamic_no_belief_state,cost,duration_ms_mean,27500.0
difficulty,easy,dynamic_no_belief_state,cost,high_cost_call_mean,0.0
difficulty,easy,dynamic_no_belief_state,cost,high_cost_failure_mean,0.0
difficulty,easy,dynamic_no_belief_state,recovery,patch_events_mean,0.0
difficulty,easy,dynamic_no_belief_state,recovery,replan_events_mean,0.0
difficulty,easy,dynamic_no_belief_state,recovery,suffix_replan_events_mean,0.0
difficulty,easy,dynamic_no_belief_state,recovery,patch_minimality_hit_rate,
difficulty,easy,dynamic_no_belief_state,recovery,suffix_replan_prefix_preservation_rate,
difficulty,easy,lite_belief_state,success,success_rate,0.0
difficulty,easy,lite_belief_state,success,first_pass_success_rate,0.0
difficulty,easy,lite_belief_state,cost,duration_ms_mean,1000.0
difficulty,easy,lite_belief_state,cost,high_cost_call_mean,0.0
difficulty,easy,lite_belief_state,cost,high_cost_failure_mean,0.0
difficulty,easy,lite_belief_state,recovery,patch_events_mean,0.0
difficulty,easy,lite_belief_state,recovery,replan_events_mean,0.0
