slice_type,slice_value,from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
overall,all,static_top1,fixed_threshold_gate,success,-1.0,-1.0,-1.0,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,7,paired
overall,all,static_top1,fixed_threshold_gate,first_pass_success,-0.5714285714285714,-0.8571428571428571,-0.14285714285714285,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,7,paired
overall,all,static_top1,fixed_threshold_gate,duration_ms,-213142.85714285713,-287285.71428571426,-132571.42857142858,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-17285.714285714286,-32142.85714285714,-4285.714285714285,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,duration_ms,-18428.571428571428,-30000.0,-4000.0,7,paired
overall,all,static_top1,fixed_threshold_gate,high_cost_call_count,-0.2857142857142857,-0.7142857142857143,0.0,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,7,paired
overall,all,static_top1,fixed_threshold_gate,patch_event_count,-0.42857142857142855,-0.8571428571428571,-0.14285714285714285,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,7,paired
overall,all,static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
overall,all,static_top1,fixed_threshold_gate,suffix_replan_event_count,0.0,0.0,0.0,7,paired
overall,all,fixed_threshold_gate,dynamic_no_belief_state,suffix_replan_event_count,0.0,0.0,0.0,7,paired
overall,all,dynamic_no_belief_state,lite_belief_state,suffix_replan_event_count,0.0,0.0,0.0,7,paired
difficulty,easy,static_top1,fixed_threshold_gate,success,-1.0,-1.0,-1.0,2,paired
difficulty,easy,fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,2,paired
difficulty,easy,dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,2,paired
difficulty,easy,static_top1,fixed_threshold_gate,first_pass_success,-0.5,-1.0,0.0,2,paired
difficulty,easy,fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,2,paired
difficulty,easy,dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,2,paired
difficulty,easy,static_top1,fixed_threshold_gate,duration_ms,-246000.0,-330000.0,-162000.0,2,paired
difficulty,easy,fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-5000.0,-9000.0,-1000.0,2,paired
difficulty,easy,dynamic_no_belief_state,lite_belief_state,duration_ms,-26500.0,-30000.0,-23000.0,2,paired
difficulty,easy,static_top1,fixed_threshold_gate,high_cost_call_count,0.0,0.0,0.0,2,paired
difficulty,easy,fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,2,paired
difficulty,easy,dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,2,paired
difficulty,easy,static_top1,fixed_threshold_gate,patch_event_count,-0.5,-1.0,0.0,2,paired
