from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,success,0.0,-0.42857142857142855,0.42857142857142855,7,paired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,-0.14285714285714285,-0.5714285714285714,0.2857142857142857,7,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,-0.42857142857142855,-0.8571428571428571,0.14285714285714285,7,paired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,-0.42857142857142855,0.42857142857142855,7,paired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.42857142857142855,0.0,1.0,7,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,-0.8571428571428571,0.8571428571428571,7,paired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,7,paired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,20142.85714285714,-22571.428571428572,64428.57142857143,7,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,-78000.0,-138571.42857142858,-17714.285714285714,7,paired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.14285714285714285,-0.2857142857142857,0.5714285714285714,7,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,-0.2857142857142857,-0.7142857142857143,0.2857142857142857,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,0.8571428571428571,-1.1428571428571428,2.4285714285714284,7,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,-2.4285714285714284,-4.142857142857143,-0.8571428571428571,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,0.5714285714285714,0.0,1.4285714285714286,7,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,-1.2857142857142858,1.2857142857142858,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,-0.42857142857142855,0.42857142857142855,7,paired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,7,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,7,paired
