run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01,issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,enzyme_like_fold,medium,standard,static_threshold_gate,DONE,DONE,2026-04-19T15:56:05+00:00,2026-04-19T15:59:33+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02,issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,enzyme_like_fold,medium,standard,static_threshold_gate,DONE,DONE,2026-04-19T15:59:33+00:00,2026-04-19T16:02:06+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01,issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,binding_scaffold,hard,high_cost_sensitive,static_threshold_gate,DONE,DONE,2026-04-19T16:02:06+00:00,2026-04-19T16:05:04+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01,issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-04-19T16:05:04+00:00,2026-04-19T16:08:05+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02,issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02,fixed_threshold_gate,2,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-04-19T16:08:05+00:00,2026-04-19T16:09:57+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01,issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01,fixed_threshold_gate,1,secondary_balance,medium,standard,static_threshold_gate,FAILED,FAILED,2026-04-19T16:09:57+00:00,2026-04-19T16:14:10+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.jsonl,,issue209-baseline-freeze-20260326,,"PlanRunError: Step S3 failed (failure_type=safety_block, error=SafetyAgent blocked step S3 after execution)"
issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02,issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02,fixed_threshold_gate,2,secondary_balance,medium,standard,static_threshold_gate,DONE,DONE,2026-04-19T16:14:10+00:00,2026-04-19T16:18:01+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01,issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01,dynamic_no_belief_state,1,enzyme_like_fold,medium,standard,dynamic_observation_only,DONE,DONE,2026-04-19T16:18:01+00:00,2026-04-19T16:20:58+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02,issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02,dynamic_no_belief_state,2,enzyme_like_fold,medium,standard,dynamic_observation_only,DONE,DONE,2026-04-19T16:20:58+00:00,2026-04-19T16:23:30+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01,issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01,dynamic_no_belief_state,1,binding_scaffold,hard,high_cost_sensitive,dynamic_observation_only,DONE,DONE,2026-04-19T16:23:30+00:00,2026-04-19T16:25:18+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
