run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,enzyme_like_fold,medium,standard,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r01_denovo.md,ad4824520702
issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,enzyme_like_fold,medium,standard,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_enzyme_like_fold_r02_denovo.md,8fed978eafb1
issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,binding_scaffold,hard,high_cost_sensitive,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_binding_scaffold_r01_denovo.md,d7a51234e4d7
issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r01_denovo.md,f86fd5a87ea2
issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02,fixed_threshold_gate,2,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_high_solubility_r02_denovo.md,f022c717e1d8
issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01,fixed_threshold_gate,1,secondary_balance,medium,standard,static_threshold_gate,WAITING_REPLAN,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r01.jsonl,,73dd63a6a545
issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02,fixed_threshold_gate,2,secondary_balance,medium,standard,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_fixed_threshold_gate_secondary_balance_r02_denovo.md,a1cc156ec074
issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01,dynamic_no_belief_state,1,enzyme_like_fold,medium,standard,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r01_denovo.md,ae028f4a842a
issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02,dynamic_no_belief_state,2,enzyme_like_fold,medium,standard,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_enzyme_like_fold_r02_denovo.md,ae71de49e62b
issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01,dynamic_no_belief_state,1,binding_scaffold,hard,high_cost_sensitive,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_binding_scaffold_r01_denovo.md,efda796bd97e
