from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,schema_valid,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,schema_valid,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,executable_plan,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,executable_plan,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,duration_ms,117000.0,117000.0,117000.0,1,paired
dynamic_no_belief_state,lite_belief_state,duration_ms,-97000.0,-97000.0,-97000.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,1.0,1.0,1.0,1,paired
dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,action_continue_count,3.0,3.0,3.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_continue_count,-2.0,-2.0,-2.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,action_patch_local_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_patch_local_count,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,action_suffix_replan_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_suffix_replan_count,0.0,0.0,0.0,1,unpaired
fixed_threshold_gate,dynamic_no_belief_state,action_stop_count,0.0,0.0,0.0,1,paired
dynamic_no_belief_state,lite_belief_state,action_stop_count,0.0,0.0,0.0,1,unpaired
